turf,center_name
경상북도 울릉군,울릉군농업기술센터
울산광역시 중구,울산유기동물보호센터
울산광역시 남구,울산유기동물보호센터
울산광역시 동구,울산유기동물보호센터
울산광역시 북구,울산유기동물보호센터
울산광역시 울주군,울산유기동물보호센터
경상북도 울진군,울진군동물보호센터
강원특별자치도 원주시,원주시동물보호센터
충청남도 금산군,월드동물병원
서울특별시 마포구,웰케어 동물병원
경기도 이천시,위더스 동물보호센터
경기도 여주시,위더스 동물보호센터
강원특별자치도 고성군,유기견임시보호소
전라남도 영암군,유기동물 삼호 보호소
경상북도 안동시,유기동물보호센터
전라남도 여수시,유기동물보호소
전라남도 완도군,유기동물임시보호센터
경상남도 의령군,의령군 동물보호센터
경상북도 의성군,의성동물보호센터
경기도 의왕시,의왕시청
서울특별시 용산구,이상윤동물병원
전북특별자치도 익산시,익산유기동물보호소
전북특별자치도 남원시,인월동물병원
강원특별자치도 인제군,인제군동물보호센터
인천광역시 미추홀구,인천광역시수의사회
인천광역시 남동구,인천광역시수의사회
인천광역시 옹진군,인천수의사회유기동물
울산광역시 동구,일산동물의료센터
전북특별자치도 임실군,임실유기동물보호센터
전라남도 장성군,장성군동물보호센터
전북특별자치도 장수군,장수군 보호소
전라남도 장흥군,장흥군 동물보호센터
전북특별자치도 김제시,전북말산업복합센터
경상북도 청송군,점곡동물보호센터
경기도 부천시,정샘동물병원
강원특별자치도 정선군,정선가축병원
전북특별자치도 정읍시,정읍시 동물보호소
울산광역시 북구,정철동물병원
대구광역시 수성구,제니스동물병원
제주특별자치도,제주 동물보호센터
제주특별자치도 제주시,제주동물보호센터
제주특별자치도 서귀포시,제주동물보호센터
제주특별자치도 제주시,제주에니멀119(주)
충청북도 제천시,제천시 동물보호센터
서울특별시 성동구,조은동물병원
인천광역시 부평구,조재진동물병원
경상북도 문경시,종합축산
울산광역시 남구,주동물병원
충청남도 계룡시,주동물병원
충청북도 진천군,증평 가정견 훈련소
전라남도 진도군,진도군임시보호소
전북특별자치도 진안군,진안군유기동물보호소
경상남도 진주시,진주시동물보호센터
경상남도 창원시 진해구,진해유기동물보호소
인천광역시 부평구,짱구네동물병원
경상남도 창녕군,창녕 유기동물보호소
경상남도 창원시 의창성산구,창원유기동물보호소
충청남도 천안시,천안시 동물보호센터
강원특별자치도 철원군,철원군
광주광역시 광산구,첨단우리동물병원
경상북도 청도군,청도군동물보호센터
충청남도 청양군,청양보호소
전북특별자치도 남원시,청원동물병원
부산광역시 연제구,청조동물병원
울산광역시 울주군,초록동물병원
충청남도 태안군,최동물병원
충청북도 영동군,최종주동물병원
강원특별자치도 춘천시,춘천시 동물보호센터
충청북도 충주시,충주시동물보호센터
경상북도 칠곡군,칠곡유기동물보호센터
울산광역시 북구,쿨펫 홈플러스 북구점
울산광역시 북구,쿨펫동물병원
경상남도 합천군,태민동물보호센터
강원특별자치도 태백시,태백시유기동물보호소
충청남도 태안군,태안 동물보호소
경상남도 통영시,통영시동물보호센터
전북특별자치도 전주시,패밀리동물병원
서울특별시 성동구,펫365동물병원
대구광역시 수성구,펫동물병원
경기도 성남시,펫앤쉘터동물병원
서울특별시 용산구,펫토이동물병원
강원특별자치도 평창군,평창군유기동물보호소
전북특별자치도 전주시,프렌즈동물병원
전북특별자치도 남원시,하나동물병원
경기도 하남시,하남동물보호센터
경상남도 하동군,하동군유기동물보호소
전라남도 함평군,학교임시동물보호센터
서울특별시 종로구,한국동물구조관리협회
서울특별시 중구,한국동물구조관리협회
서울특별시 성동구,한국동물구조관리협회
서울특별시 광진구,한국동물구조관리협회
서울특별시 동대문구,한국동물구조관리협회
서울특별시 중랑구,한국동물구조관리협회
서울특별시 성북구,한국동물구조관리협회
서울특별시 강북구,한국동물구조관리협회
서울특별시 도봉구,한국동물구조관리협회
서울특별시 노원구,한국동물구조관리협회
서울특별시 은평구,한국동물구조관리협회
서울특별시 서대문구,한국동물구조관리협회
서울특별시 강서구,한국동물구조관리협회
서울특별시 구로구,한국동물구조관리협회
서울특별시 금천구,한국동물구조관리협회
서울특별시 영등포구,한국동물구조관리협회
서울특별시 서초구,한국동물구조관리협회
서울특별시 강남구,한국동물구조관리협회
서울특별시 송파구,한국동물구조관리협회
서울특별시 강동구,한국동물구조관리협회
경기도 의정부시,한국동물구조관리협회
경기도 동두천시,한국동물구조관리협회
경기도 구리시,한국동물구조관리협회
경기도 하남시,한국동물구조관리협회
경기도 파주시,한국동물구조관리협회
경기도 김포시,한국동물구조관리협회
경기도 연천군,한국동물구조관리협회
경기도 양주시,한국동물구조관리협회
경기도 포천시,한국동물구조관리협회
경기도 안양시,한국야생동물보호협회
경기도 광명시,한국야생동물보호협회
경기도 안산시,한국야생동물보호협회
경기도 과천시,한국야생동물보호협회
경기도 군포시,한국야생동물보호협회
경기도 의왕시,한국야생동물보호협회
서울특별시 성동구,한빛동물병원
경상남도 함안군,함안군유기동물보호소
경상남도 함양군,함양군위탁보호소
전라남도 해남군,해남유기동물보호센터
전북특별자치도 전주시,행복한동물병원
대구광역시 수성구,허동물병원
대구광역시 달성군,현풍동물병원
서울특별시 마포구,홍익동물병원
강원특별자치도 홍천군,홍천군유기동물보호소
경기도 화성시,화성동물보호센터
전라남도 화순군,화순군유기동물보호소
대구광역시 달성군,화원연합동물병원
강원특별자치도 화천군,화천군농업기술센터
강원특별자치도 횡성군,횡성유기동물보호센터
전북특별자치도 전주시,효자동물병원
